Round,Seed1,Team1,Team2,Seed2,Result
1,2,Kansas,Eastern Kentucky,15,1
1,3,Syracuse,Western Michigan,14,1
1,4,UCLA,Tulsa,13,1
1,5,VCU,Stephen F Austin,12,0
1,6,Ohio St,Dayton,11,0
1,7,New Mexico,Stanford,10,0
1,8,Colorado,Pittsburgh,9,0
1,1,Virginia,Coastal Carolina,16,1
1,2,Villanova,Wisconsin Milwaukee,15,1
1,3,Iowa St,North Carolina Central,14,1
1,4,Michigan St,Delaware,13,1
1,5,Cincinnati,Harvard,12,0
1,6,North Carolina,Providence,11,1
1,7,Connecticut,St Josephs,10,1
1,8,Memphis,George Washington,9,1
1,1,Arizona,Weber St,16,1
1,2,Wisconsin,American,15,1
1,3,Creighton,Louisiana Lafayette,14,1
1,4,San Diego St,New Mexico St,13,1
1,5,Oklahoma,North Dakota St,12,0
1,6,Baylor,Nebraska,11,1
1,7,Oregon,BYU,10,1
1,8,Gonzaga,Oklahoma St,9,1
1,1,Wichita St,Cal Poly,16,1
1,2,Michigan,Wofford,15,1
1,3,Duke,Mercer,14,0
1,4,Louisville,Manhattan,13,1
1,5,St Louis,NC State,12,1
1,6,Massachusetts,Tennessee,11,0
1,7,Texas,Arizona St,10,1
1,8,Kentucky,Kansas St,9,1
2,1,Florida,Pittsburgh,9,1
2,2,Kansas,Stanford,10,0
2,3,Syracuse,Dayton,11,0
2,4,UCLA,Stephen F Austin,12,1
2,1,Virginia,Memphis,8,1
2,2,Villanova,Connecticut,7,0
2,3,Iowa St,North Carolina,6,1
2,4,Michigan St,Harvard,12,1
2,1,Arizona,Gonzaga,8,1
2,2,Wisconsin,Oregon,7,1
2,3,Creighton,Baylor,6,0
2,4,San Diego St,North Dakota St,12,1
2,1,Wichita St,Kentucky,8,0
2,2,Michigan,Texas,7,1
2,14,Mercer,Tennessee,11,0
2,4,Louisville,St Louis,5,1
3,1,Florida,UCLA,4,1
3,10,Stanford,Dayton,11,0
3,1,Virginia,Michigan St,4,0
3,7,Connecticut,Iowa St,3,1
3,1,Arizona,San Diego St,4,1
3,2,Wisconsin,Baylor,6,1
3,8,Kentucky,Louisville,4,1
3,2,Michigan,Tennessee,11,1
4,1,Florida,Dayton,11,1
4,4,Michigan St,Connecticut,7,0
4,1,Arizona,Wisconsin,2,0
4,8,Kentucky,Michigan,2,1
5,1,Florida,Connecticut,7,0
5,2,Wisconsin,Kentucky,8,0
6,7,Connecticut,Kentucky,8,1
1,1,Kentucky,Hampton,16,1
1,2,Kansas,New Mexico St,15,1
1,3,Notre Dame,Northeastern,14,1
1,4,Maryland,Valparaiso,13,1
1,5,West Virginia,Buffalo,12,1
1,6,Butler,Texas,11,1
1,7,Wichita St,Indiana,10,1
1,8,Cincinnati,Purdue,9,1
1,1,Wisconsin,Coastal Carolina,16,1
1,2,Arizona,Texas Southern,15,1
1,3,Baylor,Georgia St,14,0
1,4,North Carolina,Harvard,13,1
1,5,Arkansas,Wofford,12,1
1,6,Xavier,Ole Miss,11,1
1,7,VCU,Ohio St,10,0
1,8,Oregon,Oklahoma St,9,1
1,1,Villanova,Lafayette,16,1
1,2,Virginia,Belmont,15,1
1,3,Oklahoma,Albany,14,1
1,4,Louisville,Cal Irvine,13,1
1,5,Northern Iowa,Wyoming,12,1
1,6,Providence,Dayton,11,0
1,7,Michigan St,Georgia,10,1
1,8,NC State,LSU,9,1
1,1,Duke,Robert Morris,16,1
1,2,Gonzaga,North Dakota St,15,1
1,3,Iowa St,UAB,14,0
1,4,Georgetown,Eastern Washington,13,1
1,5,Utah,Stephen F Austin,12,1
1,6,SMU,UCLA,11,0
1,7,Iowa,Davidson,10,1
1,8,San Diego St,St Johns,9,1
2,1,Kentucky,Cincinnati,8,1
2,2,Kansas,Wichita St,7,0
2,3,Notre Dame,Butler,6,1
2,4,Maryland,West Virginia,5,0
2,1,Wisconsin,Oregon,8,1
2,2,Arizona,Ohio St,10,1
2,14,Georgia St,Xavier,6,0
2,4,North Carolina,Arkansas,5,1
2,1,Villanova,NC State,8,0
2,2,Virginia,Michigan St,7,0
2,3,Oklahoma,Dayton,11,1
2,4,Louisville,Northern Iowa,5,1
2,1,Duke,San Diego St,8,1
2,2,Gonzaga,Iowa,7,1
2,14,UAB,UCLA,11,0
2,4,Georgetown,Utah,5,0
3,1,Kentucky,West Virginia,5,1
3,7,Wichita St,Notre Dame,3,0
3,1,Wisconsin,North Carolina,4,1
3,2,Arizona,Xavier,6,1
3,8,NC State,Louisville,4,0
3,7,Michigan St,Oklahoma,3,1
3,1,Duke,Utah,5,1
3,2,Gonzaga,UCLA,11,1
4,1,Kentucky,Notre Dame,3,1
4,1,Wisconsin,Arizona,2,1
4,4,Louisville,Michigan St,7,0
4,1,Duke,Gonzaga,2,1
5,1,Kentucky,Wisconsin,1,0
5,7,Michigan St,Duke,1,0
6,1,Wisconsin,Duke,1,0
1,1,Kansas,Austin Peay,16,1
1,2,Villanova,UNC Asheville,15,1
1,3,Miami,Buffalo,14,1
1,4,California,Hawaii,13,0
1,5,Maryland,South Dakota St,12,1
1,6,Arizona,Wichita St,11,0
1,7,Iowa,Temple,10,1
1,8,Colorado,Connecticut,9,0
1,1,Oregon,Holy Cross,16,1
1,2,Oklahoma,Cal St Bakersfield,15,1
1,3,Texas A&M,Wisconsin Green Bay,14,1
1,4,Duke,UNC Wilmington,13,1
1,5,Baylor,Yale,12,0
1,6,Texas,Northern Iowa,11,0
1,7,Oregon St,VCU,10,0
1,8,St Josephs,Cincinnati,9,1
1,1,North Carolina,Florida Gulf Coast,16,1
1,2,Xavier,Weber St,15,1
1,3,West Virginia,Stephen F Austin,14,0
1,4,Kentucky,Stony Brook,13,1
1,5,Indiana,Chattanooga,12,1
1,6,Notre Dame,Michigan,11,1
1,7,Wisconsin,Pittsburgh,10,1
1,8,USC,Providence,9,0
1,1,Virginia,Hampton,16,1
1,2,Michigan St,Middle Tennessee St,15,0
1,3,Utah,Fresno St,14,1
1,4,Iowa St,Iona,13,1
1,5,Purdue,Arkansas Little Rock,12,0
1,6,Seton Hall,Gonzaga,11,0
1,7,Dayton,Syracuse,10,0
1,8,Texas Tech,Butler,9,0
2,1,Kansas,Connecticut,9,1
2,2,Villanova,Iowa,7,1
2,3,Miami,Wichita St,11,1
2,13,Hawaii,Maryland,5,0
2,1,Oregon,St Josephs,8,1
2,2,Oklahoma,VCU,10,1
2,3,Texas A&M,Northern Iowa,11,1
2,4,Duke,Yale,12,1
2,1,North Carolina,Providence,9,1
2,2,Xavier,Wisconsin,7,0
2,14,Stephen F Austin,Notre Dame,6,0
2,4,Kentucky,Indiana,5,0
2,1,Virginia,Butler,9,1
2,15,Middle Tennessee St,Syracuse,10,0
2,3,Utah,Gonzaga,11,0
2,4,Iowa St,Arkansas Little Rock,12,1
3,1,Kansas,Maryland,5,1
3,2,Villanova,Miami,3,1
3,1,Oregon,Duke,4,1
3,2,Oklahoma,Texas A&M,3,1
3,1,North Carolina,Indiana,5,1
3,7,Wisconsin,Notre Dame,6,0
3,1,Virginia,Iowa St,4,1
3,10,Syracuse,Gonzaga,11,1
4,1,Kansas,Villanova,2,0
4,1,Oregon,Oklahoma,2,0
4,1,North Carolina,Notre Dame,6,1
4,1,Virginia,Syracuse,10,0
5,2,Villanova,Oklahoma,2,1
5,1,North Carolina,Syracuse,10,1
6,2,Villanova,North Carolina,1,1
1,1,Villanova,Mount St Marys,16,1
1,2,Duke,Troy,15,1
1,3,Baylor,New Mexico St,14,1
1,4,Florida,East Tennessee St,13,1
1,5,Virginia,UNC Wilmington,12,1
1,6,SMU,USC,11,0
1,7,South Carolina,Marquette,10,1
1,8,Wisconsin,Virginia Tech,9,1
1,1,Gonzaga,South Dakota St,16,1
1,2,Arizona,North Dakota,15,1
1,3,Florida St,Florida Gulf Coast,14,1
1,4,West Virginia,Bucknell,13,1
1,5,Notre Dame,Princeton,12,1
1,6,Maryland,Xavier,11,0
1,7,St Marys,VCU,10,1
1,8,Northwestern,Vanderbilt,9,1
1,1,Kansas,UC Davis,16,1
1,2,Louisville,Jacksonville St,15,1
1,3,Oregon,Iona,14,1
1,4,Purdue,Vermont,13,1
1,5,Iowa St,Nevada,12,1
1,6,Creighton,Rhode Island,11,0
1,7,Michigan,Oklahoma St,10,1
1,8,Miami,Michigan St,9,0
1,1,North Carolina,Texas Southern,16,1
1,2,Kentucky,Northern Kentucky,15,1
1,3,UCLA,Kent St,14,1
1,4,Butler,Winthrop,13,1
1,5,Minnesota,Middle Tennessee St,12,0
1,6,Cincinnati,Kansas St,11,1
1,7,Dayton,Wichita St,10,0
1,8,Arkansas,Seton Hall,9,1
2,1,Villanova,Wisconsin,8,0
2,2,Duke,South Carolina,7,0
2,3,Baylor,USC,11,1
2,4,Florida,Virginia,5,1
2,1,Gonzaga,Northwestern,8,1
2,2,Arizona,St Marys,7,1
2,3,Florida St,Xavier,11,0
2,4,West Virginia,Notre Dame,5,1
2,1,Kansas,Michigan St,9,1
2,2,Louisville,Michigan,7,0
2,3,Oregon,Rhode Island,11,1
2,4,Purdue,Iowa St,5,1
2,1,North Carolina,Arkansas,8,1
2,2,Kentucky,Wichita St,10,1
2,3,UCLA,Cincinnati,6,1
2,4,Butler,Middle Tennessee St,12,1
3,8,Wisconsin,Florida,4,0
3,7,South Carolina,Baylor,3,1
3,1,Gonzaga,West Virginia,4,1
3,2,Arizona,Xavier,11,0
3,1,Kansas,Purdue,4,1
3,7,Michigan,Oregon,3,0
3,1,North Carolina,Butler,4,1
3,2,Kentucky,UCLA,3,1
4,4,Florida,South Carolina,7,0
4,1,Gonzaga,Xavier,11,1
4,1,Kansas,Oregon,3,0
4,1,North Carolina,Kentucky,2,1
5,7,South Carolina,Gonzaga,1,0
5,3,Oregon,North Carolina,1,0
6,1,Gonzaga,North Carolina,1,0
1,1,Virginia,UMBC,16,0
1,2,Cincinnati,Georgia St,15,1
1,3,Tennessee,Wright St,14,1
1,4,Arizona,Buffalo,13,0
1,5,Kentucky,Davidson,12,1
1,6,Miami,Loyola Chicago,11,0
1,7,Nevada,Texas,10,1
1,8,Creighton,Kansas St,9,0
1,1,Xavier,Texas Southern,16,1
1,2,North Carolina,Lipscomb,15,1
1,3,Michigan,Montana,14,1
1,4,Gonzaga,UNC Greensboro,13,1
1,5,Ohio St,South Dakota St,12,1
1,6,Houston,San Diego St,11,1
1,7,Texas A&M,Providence,10,1
1,8,Missouri,Florida St,9,0
1,1,Villanova,Radford,16,1
1,2,Purdue,Cal St Fullerton,15,1
1,3,Texas Tech,Stephen F Austin,14,1
1,4,Wichita St,Marshall,13,0
1,5,West Virginia,Murray St,12,1
1,6,Florida,St Bonaventure,11,1
1,7,Arkansas,Butler,10,0
1,8,Virginia Tech,Alabama,9,0
1,1,Kansas,Pennsylvania,16,1
1,2,Duke,Iona,15,1
1,3,Michigan St,Bucknell,14,1
1,4,Auburn,College of Charleston,13,1
1,5,Clemson,New Mexico St,12,1
1,6,TCU,Syracuse,11,0
1,7,Rhode Island,Oklahoma,10,1
1,8,Seton Hall,NC State,9,1
2,16,UMBC,Kansas St,9,0
2,2,Cincinnati,Nevada,7,0
2,3,Tennessee,Loyola Chicago,11,0
2,13,Buffalo,Kentucky,5,0
2,1,Xavier,Florida St,9,0
2,2,North Carolina,Texas A&M,7,0
2,3,Michigan,Houston,6,1
2,4,Gonzaga,Ohio St,5,1
2,1,Villanova,Alabama,9,1
2,2,Purdue,Butler,10,1
2,3,Texas Tech,Florida,6,1
2,13,Marshall,West Virginia,5,0
2,1,Kansas,Seton Hall,8,1
2,2,Duke,Rhode Island,7,1
2,3,Michigan St,Syracuse,11,0
2,4,Auburn,Clemson,5,0
3,9,Kansas St,Kentucky,5,1
3,7,Nevada,Loyola Chicago,11,0
3,9,Florida St,Gonzaga,4,1
3,7,Texas A&M,Michigan,3,0
3,1,Villanova,West Virginia,5,1
3,2,Purdue,Texas Tech,3,0
3,1,Kansas,Clemson,5,1
3,2,Duke,Syracuse,11,1
4,9,Kansas St,Loyola Chicago,11,0
4,9,Florida St,Michigan,3,0
4,1,Villanova,Texas Tech,3,1
4,1,Kansas,Duke,2,1
5,11,Loyola Chicago,Michigan,3,0
5,1,Villanova,Kansas,1,1
6,3,Michigan,Villanova,1,0
1,1,Duke,North Dakota St,16,1
1,2,Michigan St,Bradley,15,1
1,3,LSU,Yale,14,1
1,4,Virginia Tech,St Louis,13,1
1,5,Mississippi St,Liberty,12,0
1,6,Maryland,Belmont,11,1
1,7,Louisville,Minnesota,10,0
1,8,VCU,Central Florida,9,0
1,1,Gonzaga,Fairleigh Dickinson,16,1
1,2,Michigan,Montana,15,1
1,3,Texas Tech,Northern Kentucky,14,1
1,4,Florida St,Vermont,13,1
1,5,Marquette,Murray St,12,0
1,6,Buffalo,Arizona St,11,1
1,7,Nevada,Florida,10,0
1,8,Syracuse,Baylor,9,0
1,1,Virginia,Gardner Webb,16,1
1,2,Tennessee,Colgate,15,1
1,3,Purdue,Old Dominion,14,1
1,4,Kansas St,UC Irvine,13,0
1,5,Wisconsin,Oregon,12,0
1,6,Villanova,St Marys,11,1
1,7,Cincinnati,Iowa,10,0
1,8,Ole Miss,Oklahoma,9,0
1,1,North Carolina,Iona,16,1
1,2,Kentucky,Abilene Christian,15,1
1,3,Houston,Georgia St,14,1
1,4,Kansas,Northeastern,13,1
1,5,Auburn,New Mexico St,12,1
1,6,Iowa St,Ohio St,11,0
1,7,Wofford,Seton Hall,10,1
1,8,Utah St,Washington,9,0
2,1,Duke,Central Florida,9,1
2,2,Michigan St,Minnesota,10,1
2,3,LSU,Maryland,6,1
2,4,Virginia Tech,Liberty,12,1
2,1,Gonzaga,Baylor,9,1
2,2,Michigan,Florida,10,1
2,3,Texas Tech,Buffalo,6,1
2,4,Florida St,Murray St,12,1
2,1,Virginia,Oklahoma,9,1
2,2,Tennessee,Iowa,10,1
2,3,Purdue,Villanova,6,1
2,13,UC Irvine,Oregon,12,0
2,1,North Carolina,Washington,9,1
2,2,Kentucky,Wofford,7,1
2,3,Houston,Ohio St,11,1
2,4,Kansas,Auburn,5,0
3,1,Duke,Virginia Tech,4,1
3,2,Michigan St,LSU,3,1
3,1,Gonzaga,Florida St,4,1
3,2,Michigan,Texas Tech,3,0
3,1,Virginia,Oregon,12,1
3,2,Tennessee,Purdue,3,0
3,1,North Carolina,Auburn,5,0
3,2,Kentucky,Houston,3,1
4,1,Duke,Michigan St,2,0
4,1,Gonzaga,Texas Tech,3,0
4,1,Virginia,Purdue,3,1
4,5,Auburn,Kentucky,2,1
5,2,Michigan St,Texas Tech,3,0
5,1,Virginia,Auburn,5,1
6,3,Texas Tech,Virginia,1,0
